type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Dog,Juni,8,Mixed Breed (Medium),,37.8,5,4,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/7365217ed2168712943388e6e5111e3a/291c9d1aca0e1118c79b9370e04bd468.jpg
Dog,Juno,8,Mixed Breed (Medium),,38.6,5,4,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/b865dd553d6420fa931ab9f7d466f8b0/a7298f3b4a92c35752aca277dfd438be.jpg
Cat,Rose Bud,100,Domestic Shorthair,,10.04,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3208f16c16bd72b63d71999bd97f9cc1/20c5375d998b1efa725db8b19ee17b83.jpeg
Cat,Buttercup,88,Domestic Shorthair,,10.36,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/df2a065f562aa01bf3ad83ab1bd1aaeb/196fcac1d13de6742ddc489aca79c9e3.jpg
Cat,Radar Love,121,Domestic Shorthair,,14.56,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/fff2891a6eab0f85fae970fa1462eedc/afe7443609c2bd8d7fa0fd95f141bf3b.jpg
Cat,Ruth,4,Domestic Shorthair,,3.29,1,4,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/bd8fff63b315927862fef5e703505186/c70fdd4ab393eb23ca1300cacded1b26.jpg
Cat,Mabel,4,Domestic Shorthair,,4.11,1,4,2,3,3,1,3,https://new-s3.shelterluv.com/profile-pictures/ccac73a5c9ccc024cfc72e38367fe91b/a8c7d12e5073e386582b195827e77c10.jpg
Cat,Ralph,4,Domestic Shorthair,,4.41,1,4,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/d2eb5ce24b4cb617faaec6b1be64928a/35437941f18d3fbf80ad5214f712dec2.jpg
Cat,Silly Straw,6,Domestic Shorthair,,4.94,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/9ac24100e9e14251c6e2055f05742270/afa176a129f6f4943551894e69d9dca2.jpeg
Dog,Oliver,73,Mixed Breed (Small),,11,4,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/70557875fe2b4c92153846df82cd32be/788a072bc4b771a02d9cb2c6669be7d3.jpg
Cat,Eva,48,Domestic Shorthair,,14.4,2,3,2,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0e778101c4405aed74e6ade71a59fa0d/0fddcec1de957f0c601b58812071b0e5.jpeg
Cat,Ada,15,Domestic Shorthair,,8.6,2,5,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0b441f5c476ee97573d8dcd932204bab/548959d664b611613eab7cb14b3168fd.jpg
Dog,Stormi,4,Mixed Breed (Medium),,23.6,3,2,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/60d737425878d11223adbb7cce1bd8be/e271c7d22d002323866413eab3421388.jpeg
Cat,Artie,29,Domestic Shorthair,,12.6,2,5,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/b13d0bb5d22f8b928b497ca169641279/5ad214635fb8c6191a7ac9db137e3a2d.JPG
Cat,Dizzy Lizzy,2,Domestic Shorthair,,1.8,3,2,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/1796a469c6b483cc4a355381cdae9aa1/fdbab3a4c642a18a423d6bdf855201b0.jpeg
Cat,Sampson,114,,,8.25,2,4,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/36db24c66dc2e87332b748362eb115e4/b267961f637fdf511c3464cd7f4e7e3c.jpg
Cat,Silver,12,Domestic Shorthair,,10.7,2,4,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/256b512c1525374a9492a3e1d7ba7033/4f8087daaf8afe557661b7e47cf0f23a.jpeg
Dog,Penny,19,Mixed Breed (Medium),,46.6,5,3,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/e411bd7e2a3916c503120c3c8b05a714/75e28ab39c8fd549e6108fea32c3a996.JPG
Dog,Cleo,9,Mixed Breed (Medium),Medium (25-59),,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/e20e724d447477a9dd67101cba8987b5/6f1885071c1a36bcfce9054a29a60822.jpg
Cat,Autumn,3,Domestic Shorthair,,3.7,5,5,5,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/73547ac461572a0e1a476ba60dff7ca1/7bcb20d7874962d7d2a96b1c652eff7a.jpg
Cat,Squishmallow,54,Domestic Shorthair,,16,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/841168d73be6093a3a46ab3b9b4b0cfa/c911be5d515892e73e7699057902d8aa.jpeg
Dog,Charles Barkley,52,Mixed Breed (Large),Large (60-99),70.6,3,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/7f65c336d38fa427ef2ef7cab476955b/738f02e81b233a5c653aa11752d7a4c2.jpg
Cat,Bella,116,Domestic Shorthair,,9.8,3,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/6809f8495200fec5026f5628be7c3987/20240206130134.png
Dog,Ted,42,Mixed Breed (Large),Large (60-99),77,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/e79bd0bc942111eb7224c280cdf1f4e6/93843ae33d13bc52ec01d09cecc158e6.jpg
Cat,George,212,Domestic Shorthair,,8.2,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/6ca28464bca90f352f2953d2258b03b8/20230913145941.png
Cat,Orion,29,Domestic Shorthair,,10,2,4,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/92eb90ac592e7f32218f9b00634c4aac/20230913150650.png
Dog,William,81,Mixed Breed (Large),Extra-Large (100+),135.6,2,2,1,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/44a8690284883829dfe5040c3c833f6d/20240321080726.png
Dog,Bunji,44,Mixed Breed (Medium),Medium (20-59),69,1,1,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/803b61dce7d2ead8deb5f4b59ca5c3dc/20240321085217.png
Cat,Angie,14,Domestic Shorthair,,3.7699,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/1ad072c53ed425b76c912f2df10785d4/20241027085227.png
Cat,Tuulikki,13,Domestic Shorthair,,6.63,2,4,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/24f364e48d6fa38e78438f7718b4fded/e99db07f9e89ad99ea8ba92ceec61990.jpg
Cat,Bubbles,15,Domestic Shorthair,,8,2,3,3,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/dbbf6f6893e90aa557e4fa676c5a7a2d/199e1089eceb697f5ed3917f7f03b192.jpg
Cat,Lana,90,Domestic Shorthair,,,1,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d7543cc8c03172f0b9b45229febf340e/23bd7247634794971149a6d5adccd9fa.jpg
Cat,Spinach,42,Domestic Medium Hair,,10.91,4,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/cc89ab1ff05c01941d0a46fdc63a0365/366ab9f42b3e4164663bb9af56076ace.JPEG
Dog,Betty White fka Daisy,71,Mixed Breed (Medium),Medium (20-59),48.6,1,1,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e97f86486d77f3bd77bf13aaba2b971e/8d39d5e4d5a9320a75068089cb90facb.jpg
Dog,Declyn,27,Mixed Breed (Medium),,70,4,2,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/156649665fa2db56273bda9ae2067cf4/350d594cfb5336c02075be74945f94f5.jpg
Dog,Lil Blizzy,38,Mixed Breed (Medium),Medium (25-59),58,3,3,3,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/a036ecd28d21e875378f785f050065d8/8fe1f153cffb4fd0e96901cf5fc74125.png
Cat,Jenny Fromdabloc,13,Domestic Shorthair,,6.02,2,2,2,3,3,1,3,https://new-s3.shelterluv.com/profile-pictures/47e02dee8f7951b2b8a56d5a07d45fdf/9ce48865e6591e2bc6e9fc50fbad9a73.jpg
Dog,Dapper Dan,10,Mixed Breed (Large),,48.6,3,2,3,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/6edff2daddef3404888591ab16da894d/af6001c92a9e1924ab1e9026eff58941.jpg
Cat,Talking Phaze,8,Domestic Shorthair,,7.05,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/63d9f12b177a9b5466bec601b261f764/94e31f3e57e5fd3b521a7b6013ec7896.jpg
Cat,Marshmallow,7,Domestic Shorthair,,7.97,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/83d8f43a142d5bc134f6fd25b9e304ed/1270d87a48043e0ef9a39000916b237b.jpg
Cat,Chew Chew,168,Domestic Shorthair,,13.95,1,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/875f52a2e3503461da13d6d6ff6bbb32/48e7e973e4697b5a2ae8b22ec2101568.jpg
Cat,Neehna,13,Domestic Shorthair,,12,2,5,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/75f5a3baff5e9b0db6c85cc9cbeab32e/da734b3e195976bd880eeeab6f76ed2b.jpg
Cat,Ruby Soho,18,Domestic Shorthair,,,2,3,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/22b410aca5673b438bbaceb5a1afe698/223f8d6ac9d5442ae854652b63cf42c5.jpg
Cat,Thunder Rosa,18,Domestic Shorthair,,9.3,2,3,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/ce867b7e2cbc79296da5221f65a003b8/3fef2f1ac4b50f104ced3660f7f8d232.jpg
Cat,Francine Smith,12,Domestic Shorthair,,6.52,2,2,2,3,3,1,3,https://new-s3.shelterluv.com/profile-pictures/5075f22004af6928b486defd68262102/1f6000d0c77386fe1aab783c12f50772.jpeg
Dog,Squeezee McCheezee,18,Mixed Breed (Medium),Medium (25-59),34,4,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/54c1196fd42fa27749638a7620d40925/1da9d349cba80647d23eb4bc44ed6cff.jpeg
Cat,Francesca,21,Domestic Shorthair,,6.54,2,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/a52eebc79b65b9d99bfb4e6f952450c7/9019a37d9772148747b26e5d292335f6.jpg
Dog,Tonka,19,Mixed Breed (Large),Medium (25-59),52.8,3,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/a1ae609d812895e5dfe75fa7e7434ab1/7459bcca8821dcb5b21c69ac90ad8344.jpg
Cat,Poptart,10,Domestic Shorthair,,6.3,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/f59c83436d489f4b7200140a3549a76a/6f212eb06a9ed6649ea212bc055ee863.jpg
Cat,Wonton,66,Domestic Shorthair,,8.6421,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b6184065fad294f0c768fcbd6b433575/da2ba969dc30dc7efc628524fdc6df71.jpg
Cat,Stormy Sunset,83,Domestic Shorthair,,16.26,2,2,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/c05c28d4930281176fc709237671db3a/0496f052b77302518898d827b84a2ae4.jpg
Cat,Snow Cone,16,Domestic Shorthair,,7.7,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/6089464dc1ab8eb449c4806bfddbe1c4/c8d9278f63139b2d9117b5a46ca05a8c.jpg
Cat,Stitch,4,Domestic Shorthair,,3.24,2,4,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/fd9af7c3e3b66fa6c0c0c0a7692b9303/35d16aca1a07c17f58f7de1fd11ef178.jpg
Cat,Tiptoe,6,Domestic Shorthair,,5.8422,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Eeyore,6,Domestic Shorthair,,5.6218,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Jalapeño ,6,Domestic Shorthair,,4.3431,1,3,3,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/5b6707bc5f088b85f3d8d665894e7942/72e4ea4426da9d337e47df0685181aeb.jpg
Cat,Ralphie Girl,50,Domestic Shorthair,,9.4,3,1,2,2,3,4,3,https://new-s3.shelterluv.com/profile-pictures/88ccfc517770c79e57a37b54f70642d1/42ad488252df6cba5f57ec7b6071a7b3.jpg
Dog,Nola,13,Mixed Breed (Large),,51.8,3,3,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/c07cb9ef6461437eb2cd19d1af739dfc/838527e5bcf4671110fab653cc34a3a3.jpg
Cat,Lilo,4,Domestic Shorthair,,4.91,3,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/79cb3df6198fd4eba5f173dc959be497/b6fc49c28c2c8c8f3b33656335dbd718.jpg
Cat,Nani,4,Domestic Shorthair,,5.25,3,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/72c2ea6b787228a148e637ca48138f6d/88afc503ab5ff64596e8268035a50814.jpg
Cat,Peppa,38,Domestic Shorthair,,8.27,2,5,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e49d43ca04556d41d60a3a7fd63415bd/25b0a42c069236ab60568724d38fe89b.jpg
Cat,Firefly,5,Domestic Medium Hair,,5.44,2,3,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/53b9f0a9960de8e32748141700722148/e43cd5cf2c7e0a01e07b2a37c7f323c7.jpg
Cat,Junebug,5,Domestic Shorthair,,4.5,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/80b966920bb1911c27ff870d3c1ecae2/cccbb067b06d3e6aeb0609c9de20f49f.jpg
Cat,Spork,4,Domestic Shorthair,,4.5195,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/1e349b860a008c0aec1687f176a0be52/275cef3060e1cdd03ac6f177bfba1448.jpg
Dog,Lettie,26,Mixed Breed (Medium),Medium (25-59),36.4,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/e95c4c30d710435f13ea0f040a63192a/3b7f4ce94e20f44dc9b9eb821ec2407f.jpg
Cat,Daisy,5,Domestic Shorthair,,4.5856,2,5,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/2911557e7cd8ce08abcc1b02cb76933d/7bca3c01014a6133202461479fa027bb.jpeg
Cat,Maisey,5,Domestic Shorthair,,4.8061,2,5,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/51f6792c83f23fc1d5627085ccf92845/0dfc2e2610520fcd392dd37ff7061dd6.jpg
Cat,Mona,14,Domestic Shorthair,,6.76,2,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/d7af7fc38eacd1eb4757626fd586238d/d7e60db1741098e44c2f15616c765bd5.jpg
Cat,Julia Child,14,Domestic Shorthair,,6.94,2,3,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e8f2a762f6bed074fb10f540f7170bb6/a5a2d5dd1c3f6e8fa9fc6f5c843dd60e.jpg
Cat,Anthony Bourdain,3,Domestic Shorthair,,2.55,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/2f6afc9f9c9a8a2e7c418e5f940d4d0e/761b142feab3a55533420665e5c6f266.JPG
Cat,Serena,5,Domestic Shorthair/Domestic Shorthair,,3.7,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/446b3ed02168d7edc26059de7951f301/9da7a0a297946e076bb7af4190c68602.jpg
Cat,Carina,5,Domestic Shorthair,,3.5,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/2dd509f202650224c18cda82bdffbaeb/2f8eb4e9ebd603f4de11f0ce9fdc7943.jpg
Dog,Echo,15,Mixed Breed (Medium),Medium (25-59),50.6,4,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/45af84c7f7a40cda620a87f42af4c1d7/09fa8e2ffe1bc6c0d920f75a678a5734.jpg
Cat,Scotty,121,Domestic Shorthair,,11,2,3,2,3,3,2,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Sneaky,85,Domestic Shorthair,,6.33,2,3,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/9c2cf7bc63ed97bffa5f81db769217c8/41926611af2f5ba91be0b1e49c63e460.jpeg
Cat,Bobo,2,Domestic Shorthair,,2.44,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/e6e2c950d98929f8d8f152d51067d0ad/1fa97381115b742ca6ec0fadddc7fba4.jpg
Dog,Alexis Rose,3,Mixed Breed (Medium),,15,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/165891725d4049d5181bb8baf2401054/97cf29e28a4bd2bc91084f673b86692c.jpg
Dog,Patrick Brewer,3,Mixed Breed (Medium),,15,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/20adb88700d3f72b5bdc5f483dd108d0/855231aa9be740d0d19c202c1b9ac901.jpg
Dog,David Rose,3,Mixed Breed (Medium),,15,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/5f789fd5c7f9ba85d1e3a19d7b86ef32/afa92d023ac7412064a9ed6f03540382.jpg
Cat,Prince,108,Domestic Longhair,,9.5,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/ca2fa168d0cc7e3ac6102b29fca0cc8b/69f55e9f83202d1fd28615f0ffec608c.jpeg
Cat,Johnny,5,Domestic Shorthair,,7.38,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/1200927449aff4b65543d57bbe06ef49/612f7b2f1752edd2f865d7fc3eac623c.jpg
Cat,Jeremy,5,Domestic Shorthair,,7.93,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/533e9409039ff8c018059655f4ae4b58/06b63ecb7a4161c9aac5bc8de1b64193.jpg
Cat,Pomni,8,Domestic Shorthair,,4.5,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/a084bcd5dd6bbb80914fc174ecbec655/2c6a05bfbc3bf24c43ac188ca26c5864.jpg
Cat,Louisa May Alcatt,3,Domestic Shorthair,,3.19,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Edgar Allen Paw,3,Domestic Shorthair,,3.65,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Pawscar Wilde,3,Domestic Shorthair,,3.85,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Jane Pawsten,3,Domestic Shorthair,,3.2,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Yard Stick,3,Domestic Shorthair,,3.75,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/2a7f9f249cece7f5f638c92e30ffe432/bb7a684a3d0c1451defb89032018cfbb.jpg
Cat,Harmony,18,Domestic Shorthair,,6.9446,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Lyric,2,Domestic Shorthair,,2.1385,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Tempo,2,Domestic Shorthair,,1.8519,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Monkey D. Luffy,48,Domestic Medium Hair,,3.98,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Lord Picklejuice,1,Domestic Shorthair,,1.3228,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
"Rat, Unspecified",Tumbleweed,27,,,,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/78198c7a44e1855218c73129bb3e5afc/20240703102641.png
"Rat, Unspecified",Coyote,27,,,,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/6939b45c2eaa74b5d868719c5990c68a/20240703102509.png
"Rat, Unspecified",Khloe,7,,,0.9524,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/f68b26a0e21b9343b0991f483b3dc4ee/19cb2fe66a7e8dda067defd1c9f491e0.jpeg
Dog,Lucy,150,Mixed Breed (Medium),,28.4,3,1,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/d08a9f9202a55d5d0116fec8fd41a80d/20191121113253.png
Cat,Billy Idol,4,Domestic Shorthair,,1.97,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3ba596b72c266137688bd91ac0b5bf6b/7c2474ccdc974d6ade062f65aacbe991.jpg
Cat,Apollo,46,Domestic Shorthair,,7,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/cacc5bf532e322ac389150a2c404eca6/a7d34d4bd09e72e31d09dfbb8886076e.jpeg
Dog,Gunther,39,Mixed Breed (Medium),,54.6,3,4,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/09a1eb59a15c63b16e594d6e00d729e3/5b1568a790bdd0342c4ce9e53e76cb00.jpg
Cat,Xena,39,Domestic Shorthair,,7.36,2,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/7c04bc0ecbfcb14c53741321bfc089cf/b5f011c5c66ad4e4dd5b673df7513f0c.jpg
Dog,Flora,13,Mixed Breed (Medium),,28.8,3,3,3,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/8bd5327b83422d89fb29298dc9bb295c/917327d9ca6c46521695afa6c00d4372.jpg
Cat,Ragu,54,Domestic Shorthair,,10.5,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/204bb082c5b94a0aa445084c88956b39/7fd14f7f9be689973687034d2bb96e0c.jpg
Cat,Ozzy,12,Domestic Shorthair,,9.09,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3631191b0e350c0b684609efee9478ea/5340a2cd46c1db6e80d58733856afdce.jpg
Cat,Maxine,1,Domestic Shorthair,,1.01,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/83f8de9f189a2e59a09ea1e398d91152/599a33e8737db8fcfb3ea73d0b2f5e33.jpg
Cat,Pizza,0,Domestic Shorthair,,0.2425,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d74bfab9a420e599d3dd5e0232c5af4d/2496b19ec41a5cd9a397178a13d69f33.jpeg
Dog,Bell Bottom,12,Mixed Breed (Medium),Small (1-19),13.6,2,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/803adfa9d0ecfe14cd7071d88c219adf/20241107124010.png
Cat,Vincent Valentine,17,Domestic Shorthair,,4.41,4,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/afc216e4fb85b80dab2e43762fe738a8/20240508080535.png
Cat,Daisy,16,Domestic Shorthair,,3.02,4,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/4bae7c321e404434923968ff3216b8cb/20240630073459.png
Cat,Lint,16,Domestic Shorthair,,2.4251,2,3,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/2ca6935e0f5024996d788cbc85bc9e32/20240627163809_0.png
Cat,Smitty,6,Domestic Shorthair,,4.35,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/374ea8a51682520674b5947f43eefbe9/e9ba5f59504957df4fd102067f24aee1.JPG
Cat,Hannah Meowtana,5,Domestic Shorthair,,2.0944,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/09c746dd3d53ecae16298be437bbbb34/72c702465a1ba085847610f66532cd1a.jpg
Cat,Jenna Meowdougall,5,Domestic Shorthair,,1.9842,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/949e3d60b8d2530bd73728c8893f8760/a3de65faa9a0dfb2e97b64251e9b97ed.jpg
Cat,Chester,5,Domestic Shorthair,,2.61,2,3,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/4c0ea0024946d095e741b61ab3e231cf/92d73ad703a546caacd4edc60950e461.jpg
Cat,Hamtaro,4,Domestic Shorthair,,1.5873,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/d496cbaaaa5e1d0e1f99e67745739a62/676a07f75dbb58099f97947d296faf7e.jpg
Cat,Winky,6,Domestic Shorthair,,3.15,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/333e0a8918c04e2ddb238f74f187a167/d94bfb2ca13f4d5a0f9c29197e967892.jpg
Cat,Slinky,6,Domestic Shorthair,,3,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/70c314f8f8a6928eca0902d154878983/c8ab1c8783b7878656c045780599aa0f.jpg
Cat,Chavela,5,Domestic Shorthair,,3.49,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/975f6af74aa9a1fa4009219e42f56d93/29ec564acadc0eb405b717ff647d19d2.jpg
Cat,Frida,5,Domestic Shorthair,,3.54,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/a11f52c8a16aeb509f77d0b6af07a23b/2810c80cf15c117eff23228955095a39.jpg
Cat,Peekaboo,6,Domestic Shorthair,,1.3,2,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4919344a859db1f24ffcb143c98bc8de/5681afa2419f3885dadaa3ad438a098c.png
Cat,Jon Bon Jovi,4,Domestic Shorthair,,1.8916,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/83033a14a9edd586e66080c8a454ad4e/4046ed0dfa64067a6ced1a05024ff1bb.jpg
Cat,Annie Lennox,4,Domestic Shorthair,,1.5168,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4f7ec4dddb405feef3cc77885bc583ac/747768f6088c64b288e126ccddfc6cc6.jpg
Cat,Honey Lemon,5,Domestic Shorthair,,2.6455,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/17f6a43a0a7be261650d874335a10765/aa87cc952231573cbbdc391043bb9108.jpg
Cat,Gogo Tomago,5,Domestic Shorthair,,3.2187,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/944708d2862c2ff6b0f949c1ab8f2556/88e8d9d789d2f84e62f2dffc04442d63.jpg
Cat,Faolan,5,Domestic Shorthair,,4.6,3,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4c0d66efe159f6716257ee1c22ae1486/441a25a2587c122896a63aed3d4d1f34.jpg
Cat,Rick Astley,4,Domestic Shorthair,,2.02,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/de083626aeec4cd8db27cf5ee359e69a/0044b536ec6234f141644a82a5bce485.jpg
Cat,Alan,4,Domestic Medium Hair,,1.5,5,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/994b37ccfea987ca79a9969f4f71e79f/5c0bbcc27cd00fdae959cd48d28cfdba.jpeg
Cat,Oliver,4,Domestic Shorthair,,1.58,3,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/65baebb2e41718aa72abacf4ddf061cc/3138ebd2b5562fbf78ba52332e377a61.jpg
Cat,Jodie Foster,5,Domestic Shorthair,,2.4251,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/f6b3ca5482691613ef7eacc2cf9683ff/9fd604ddb614b908de9ab5a1ac20f002.jpg
Cat,Harvey Milk,5,Domestic Shorthair,,3.1747,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/9324dfaaa296de2bb73fc0e0de12e252/24a62e84db35f5586e9ca98c3176b9cf.jpg
