type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Cat,Inosuke,53,Domestic Shorthair,,10.88,1,3,5,2,3,5,3,https://new-s3.shelterluv.com/profile-pictures/c72e691ef467521f754339102478f91e/2356755cedea0d9d22b46ddadd7a3566.jpg
Dog,Dunkin,63,Mixed Breed (Medium),Small (1-19),71,3,1,3,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/df16d1970b05d2c977ce4e4801cb7b53/20240205125718.png
Dog,CJ,80,Mixed Breed (Large),Large (60-99),92,3,1,4,2,3,5,3,https://new-s3.shelterluv.com/profile-pictures/46bd5dc7a97d2263bd77276311a463fa/20240408132817.png
Cat,Tesla,123,Domestic Shorthair,,5.76,2,3,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/6e642940a667a76ec894d985a12da1e1/20230725130119.png
Dog,Teddy,109,Mixed Breed (Large),Large (60-99),62,3,2,1,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/3cb4423931d455e9db75519a9d8e03d8/20240328092850.png
Dog,Peaches,49,Mixed Breed (Large),Large (60-99),45,2,1,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/058e1f0215acd35f3e8e4dd16cb53571/20220808085233.png
Cat,Marcy,73,Domestic Shorthair,,8.6,2,4,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/e8296eb5ae27a8296ae2d9dedc19daa8/20240328094818.png
Dog,Strawberry,77,Mixed Breed (Large),Large (60-99),56.6,1,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0f1d8d0163870351c1422a8bc83022de/20240508145033.png
Cat,Hanna,150,Domestic Shorthair,,12.18,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/0e6dac5d5f0f6b46cfda966cb1119584/20210610155848.png
Cat,Sprinkles,57,Domestic Shorthair,,18.94,2,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/05e134860321eb8ad61907de1bcd858f/20240328090510.png
Cat,Sookie,52,Domestic Shorthair,,9.18,2,3,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/c55e91d785625f343957b1befd19e342/20240516064117.png
Cat,Maya,75,Domestic Shorthair,,8.16,2,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/a2c2677ae06fb27060cdb3a0a6b4fe1b/20240328100929.png
Dog,Brownie,30,Mixed Breed (Medium),Medium (20-59),46,4,2,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/74cfaccf73f0d570384f40902715c8ab/a3bd737113af12853cbd686d55a77a7f.jpg
Cat,Yuki,149,Domestic Shorthair,,11.75,2,3,4,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/97824d60ae5031ba834737b38bcc8764/20230508064533.png
Cat,Hey It's Franklin,105,Domestic Shorthair,,11.88,2,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b6fa2a071f5db5429e38c073ef0f5e28/7f6b1ba6adc4e5215267e2fe65b6a3dd.jpeg
Dog,Banh Mi,18,Mixed Breed (Medium),,54.8,3,1,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/4055fc9bc5003d4865b527395767034b/129949c2395182f9f83b794cc9be520d.jpg
Cat,Michita,14,Domestic Shorthair,,6.94,5,5,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/5f612406acdff9c772a953e870fd212a/730f854208571b6751d50f603e1b5ae4.jpeg
Cat,Michuna,14,Domestic Shorthair/Domestic Shorthair,,8.67,5,5,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/211ce4cb0f1ee1f8aebb81fa8c7b0aa2/222d257dce27f459e43c8857dc3ace37.jpeg
Cat,Calimero,24,Domestic Shorthair,,13.23,1,1,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/3089a31a56ff380476a48bfc5d6a4663/0cfe7316fc98bb61f03f15af4144c538.jpg
Cat,Gru,188,Domestic Shorthair,,8.4,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/bce7f7b47842adc35654350b45e6d915/69fb2e2ccc0bd941b2a8bd7fb884a971.jpg
Dog,Fancy Fred,10,Mixed Breed (Large),,43.2,3,2,4,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/80a20a40eb81a5d36049659fd1f169df/d47af568128a7c9be8f916c7eb4cff95.jpg
